연번,주소
1,서울 중구 동호로 14길 18
2,서울 중구 을지로 281
3,서울 중구 충무로2길 39
4,서울 종로구 비봉길 13
5,서울 서대문구 북아현로 59-1번지
6,서울 서대문구 신촌로 105번지
7,서울 종로구 돈화문로 28
8,서울 용산구 청파로 274-2
9,서울 용산구 한강대로 102길11-5
10,서울 용산구 신흥로 90
11,서울 용산구 이태원로 281
12,서울 용산구 이촌로71길 24
13,서울 성북구 성북로 4길 52
14,서울 성북구 보문로 13길 27
15,서울 성북구 보문로29길 92
16,서울 성북구 정릉로 31길 30 
17,서울 성북구 동소문로 258
18,서울 성북구 정릉로 10길 44
19,서울 성북구 보국문로 87
20,서울 성북로 25
21,서울 동대문 고미술로 93
22,서울 동대문 한천로11길 30
23,서울 동대문구 왕산로 5
24,서울 동대문구 왕산로 95
25,서울 동대문구 시립대로 14길 31
26,서울 동대문구 한천로 10길 4
27,서울 동대문구 장안로18길 78
28,서울 동대문구 이문로 196
29,서울 동대문구 망우로 20길 4
30,서울 마포구 환일길 3
31,서울 마포구 도화길 40
32,서울 마포구 대흥로 85
33,서울 마포구 신촌로18길 26
34,서울 마포구 잔다리로 6길 29
35,서울 마포구 양화로 178-17
36,서울 마포구 월드컵로 31길 18
37,서울 영등포구 버드나루로 1-1
38,서울 영등포구 도신로 29길 13
39,서울 영등포구 신길로 179-2
40,서울 영등포구 신길로 23길 12
41,서울 영등포구 선유로 53길 23
42,서울 성동구 마장로42길 11
43,서울 성동구 고산자로 332
44,서울 성동구 왕십리로5길 3
45,서울 성동구 뚝섬로 364-1
46,서울 성동구 왕십리로 341
47,서울 성동구 독서당로 286-1
48,서울 동작구 현충로56
49,서울 동작구 현충로140-1
50,서울 동작구 장승배기로 73
51,서울 동작구 성대로29길 61
52,서울 동작구 상도로 62길 1
53,서울 동작구 동작대로43길6
54,서울 동작구 사당로 16아길 6
55,서울 동작구 사당로 138
56,서울 동작구 여의대방로 24길 106
57,서울 동작구 상도로 87
58,서울 광진구 자양로3가길 28
59,서울 광진구 광나루로56길 4
60,서울 은평구 은평로 28
61,서울 은평구 증산서길 82
62,서울 은평구 수색로 261
63,서울 은평구 가좌로7라길 1
64,서울 은평구 연서로6길 19
65,서울 강북구 솔매로49길 14
66,서울 강북구 삼양로54길 51
67,서울 강북구 도봉로 39
68,서울 강북구 우이동 4-2
69,서울 강북구 삼양로 457
70,서울 금천구 문성로 38
71,서울 금천구 시흥대로 148길 21-5
72,서울 금천구 독산로50길 105
73,서울 금천구 금하로24다길 7
74,서울 금천구 금하로 11길 40
75,서울 금천구 시흥대로37길 18
76,서울 금천구 한내로 69-17
77,서울 중랑구 용마산로118길 103
78,서울 중랑구 용마공원로5길 13
79,서울 중랑구 답십리로 75길 61
80,서울 중랑구 면목로 275
81,서울 중랑구 봉우재로6길 5
82,서울 중랑구 봉우재로 93-5
83,서울 중랑구 면목로66길 7
84,서울 중랑구 용마산로 370
85,서울 중랑구 동일로 792
86,서울 영동대로 513
87,서울 강남구 삼성로 761
88,서울 강남구 압구정로 33길 48
89,서울 관악구 봉천로 279
90,서울 관악구 남부순환로239길 8
91,서울 관악구 인헌6길 23
92,서울 관악구 신원로 311
93,서울 관악구 문성로27길 12-15
94,서울 관악구 참숯1길 3
95,서울 관악구 대학길 48
96,서울 관악구 청림3마길 14-1
97,서울 관악구 난곡로 180-1
98,서울 강서구 까치산로 51
99,서울 강서구 개화동로 275-1
100,서울 강동구 천호동 전중로 11-14
101,서울 강동구 천호동 천호대로 159길7
102,서울 강동구 천호대로 197길 96
103,서울 강동구 올림픽로 98가길 57
104,서울 강동구 구면천로 42길 59
105,서울 강동구 천호옛길 68-1
106,서울 강동구 양재대로 138길37
107,서울 성북구 한천로76길11
108,서울 성북구 장위로 82
109,서울 성북구 한천로 701
110,서울 북구 화랑로 96
111,서울 성북구 삼양로2길 70
112,서울 성북구 종암로 88
113,서울 구로구 경인로 577-1
114,서울 구로구 신도림로 40
115,서울 구로구 구일로 52
116,서울 구로구 구로동로 141
117,서울 구로구 중앙로 3
118,서울 구로구 고척로27길 27
119,서울 구로구 경인로 293
120,서울 구로구 개봉로 1가길 28
121,서울 구로구 부일로 1길 68
122,서울 서초구 주흥15길 41
123,서울 서초구 나루터로 38
124,서울 서초구 명달로 55
125,서울 서초구 염곡말길 9
126,서울 서초구 바우뫼로 45
127,서울 양천구 목동서로 11
128,서울 양천구 목동중앙본로 27길 25
129,서울 양천구목동중앙로23
130,서울 양천구 목동남로93
131,서울 양천구 목동동로 152
132,서울 양천구 오목로5길 34
133,서울 양천구 가로공원로 101
134,서울 송파구 백제고분로 392
135,서울 송파구 백제고분로 15길 5
136,서울 송파구 잠실로 51-29
137,서울 송파구 백제고분로 37길 20
138,서울 송파구 오금로 46길 55
139,서울 송파구 중대로 18
140,서울 송파구 성내천로 43가길 14-1
141,서울 송파구 풍성로 25길 17
142,서울 송파구 송파대로 567 지하1층
143,서울 송파구 성남대로 1576
144,서울 노원구 공릉로 290
145,서울 노원구 석계로 93
146,서울 노원구 초안산로 2
147,서울 노원구 마들로 55
148,서울 노원구 공릉로 189
149,서울 노원구 중계로 139
150,서울 노원구 상계로35길29
151,서울 노원구 동일로227길97
152,서울 서초구 방배로 40
153,서울 서초구 신반포로15길 14
154,서울 서초구 방배중앙로 131
155,서울 은평구 불광로 129
156,서울 은평구 통일로 914
157,서울 은평구 갈현로 151
158,서울 은평구 갈현로 41길 3
159,서울 은평구 진관2로 125
160,서울 은평구 진관4로 48-25
161,서울 도봉구 방학로 12길 18
162,서울 강남구 남부순환로378길29
163,서울 강남구 역삼로 117
164,서울 강남구 삼성로 236
165,서울 강남구 밤고개로 99
